Currency,Date,Description,Amount,Fees,Price,Pair,Other Currency,Other Amount,IBAN,Transaction Hash,Additional Info
EUR,2019-06-07 22:23:20.482 ,Order 91794200133c9ca7,1.573,0.00,0.0999111,XCM/EUR,XCM,-15.7,,,
XCM,2019-06-07 22:23:20.251 ,Order 91794200133c9ca7,-15.744,0.00,0.0999111,XCM/EUR,EUR,1.57,,,
XCM,2019-02-26 05:31:55.811 ,Order ac08bb87c8858530,7721.044,0.00,0.0245200,XCM/EUR,EUR,-189.32,,,
EUR,2019-02-26 05:31:55.794 ,Order ac08bb87c8858530,-189.32,0.00,0.0245200,XCM/EUR,XCM,7721.0,,,
XCM,2019-02-25 21:14:13.037 ,Order b56f50674f650473,4311.885,0.00,0.0266999,XCM/EUR,EUR,-115.13,,,
EUR,2019-02-25 21:14:13.022 ,Order b56f50674f650473,-115.127,0.00,0.0266999,XCM/EUR,XCM,4311.9,,,
XCM,2019-02-25 21:12:58.962 ,Order 7bda6ac379e2afc1,3620.115,0.00,0.0267000,XCM/EUR,EUR,-96.66,,,
EUR,2019-02-25 21:12:58.948 ,Order 7bda6ac379e2afc1,-96.657,0.00,0.0267000,XCM/EUR,XCM,3620.1,,,
XCM,2019-02-25 21:12:58.901 ,Order 7bda6ac379e2afc1,688.085,0.00,0.0266900,XCM/EUR,EUR,-18.36,,,
EUR,2019-02-25 21:12:58.885 ,Order 7bda6ac379e2afc1,-18.365,0.00,0.0266900,XCM/EUR,XCM,688.1,,,
XCM,2019-02-25 21:12:58.840 ,Order 7bda6ac379e2afc1,3623.8,0.00,0.0266800,XCM/EUR,EUR,-96.68,,,
EUR,2019-02-25 21:12:58.826 ,Order 7bda6ac379e2afc1,-96.683,0.00,0.0266800,XCM/EUR,XCM,3623.8,,,
XCM,2019-02-25 21:12:03.343 ,Order 57b10313fdf276e8,688.1,0.00,0.0266807,XCM/EUR,EUR,-18.36,,,
EUR,2019-02-25 21:12:03.328 ,Order 57b10313fdf276e8,-18.359,0.00,0.0266807,XCM/EUR,XCM,688.1,,,
XCM,2019-02-25 21:09:11.060 ,Order 3ecf66b4963b02e0,688.1,0.00,0.0266807,XCM/EUR,EUR,-18.36,,,
EUR,2019-02-25 21:09:11.045 ,Order 3ecf66b4963b02e0,-18.359,0.00,0.0266807,XCM/EUR,XCM,688.1,,,
XCM,2019-02-25 19:51:03.723 ,Order e254a96c28fded18,9999.547,0.00,0.0265000,XCM/EUR,EUR,-264.99,,,
EUR,2019-02-25 19:51:03.708 ,Order e254a96c28fded18,-264.988,0.00,0.0265000,XCM/EUR,XCM,9999.5,,,
XCM,2019-02-25 19:51:03.672 ,Order e254a96c28fded18,0.434,0.00,0.0276498,XCM/EUR,EUR,-0.01,,,
EUR,2019-02-25 19:51:03.585 ,Order e254a96c28fded18,-0.012,0.00,0.0276497,XCM/EUR,XCM,0.4,,,
XCM,2019-02-25 19:50:17.288 ,Order 62f8d7a922398b56,20169.566,0.00,0.0264990,XCM/EUR,EUR,-534.47,,,
EUR,2019-02-25 19:50:17.274 ,Order 62f8d7a922398b56,-534.473,0.00,0.0264990,XCM/EUR,XCM,20169.6,,,
XCM,2019-02-25 19:50:17.229 ,Order 62f8d7a922398b56,0.434,0.00,0.0253456,XCM/EUR,EUR,-0.01,,,
EUR,2019-02-25 19:50:17.215 ,Order 62f8d7a922398b56,-0.011,0.00,0.0253457,XCM/EUR,XCM,0.4,,,
XCM,2019-02-25 19:47:48.277 ,Order a3b2b3db7a98d0b5,1635,0.00,0.0260000,XCM/EUR,EUR,-42.51,,,
EUR,2019-02-25 19:47:48.263 ,Order a3b2b3db7a98d0b5,-42.51,0.00,0.0260000,XCM/EUR,XCM,1635.0,,,
XCM,2019-02-25 18:58:15.820 ,Order be5343a55f23b719,30450.686,0.00,0.0255000,XCM/EUR,EUR,-776.49,,,
EUR,2019-02-25 18:58:15.806 ,Order be5343a55f23b719,-776.493,0.00,0.0255000,XCM/EUR,XCM,30450.7,,,
XCM,2019-02-25 18:57:26.355 ,Order bc4e8d76b9ae65e8,2000,0.00,0.0254900,XCM/EUR,EUR,-50.98,,,
EUR,2019-02-25 18:57:26.339 ,Order bc4e8d76b9ae65e8,-50.98,0.00,0.0254900,XCM/EUR,XCM,2000.0,,,
XCM,2019-02-25 18:55:26.546 ,Order 63f32256e9918af9,470.791,0.00,0.0254890,XCM/EUR,EUR,-12.00,,,
EUR,2019-02-25 18:55:26.532 ,Order 63f32256e9918af9,-12,0.00,0.0254890,XCM/EUR,XCM,470.8,,,
XCM,2019-02-25 18:52:23.017 ,Order 73429a6a715e384a,30000,0.00,0.0254890,XCM/EUR,EUR,-764.67,,,
EUR,2019-02-25 18:52:23.002 ,Order 73429a6a715e384a,-764.67,0.00,0.0254890,XCM/EUR,XCM,30000.0,,,
EUR,2019-02-25 10:50:33.402 ,Deposit 5c73c5edaf52d8280f72a049 - completed,2999,1.00,,,,,AE720260000211377054302,201902251150934691-125190766,
XCM,2019-02-12 21:59:03.831 ,Order c8aec54c4ec280cf,2744.737,0.00,0.0190000,XCM/EUR,EUR,-52.15,,,
EUR,2019-02-12 21:59:03.817 ,Order c8aec54c4ec280cf,-52.15,0.00,0.0190000,XCM/EUR,XCM,2744.7,,,
XCM,2019-02-12 21:51:42.708 ,Order 93bcfaa96d41f4d8,0.354,0.00,0.0197740,XCM/EUR,EUR,-0.01,,,
EUR,2019-02-12 21:51:42.694 ,Order 93bcfaa96d41f4d8,-0.007,0.00,0.0197740,XCM/EUR,XCM,0.4,,,
XCM,2019-02-12 21:50:50.243 ,Order 93bcfaa96d41f4d8,41229,0.00,0.0193000,XCM/EUR,EUR,-795.72,,,
EUR,2019-02-12 21:50:50.227 ,Order 93bcfaa96d41f4d8,-795.72,0.00,0.0193000,XCM/EUR,XCM,41229.0,,,
XCM,2019-02-12 21:47:49.334 ,Order 93bcfaa96d41f4d8,35402.77,0.00,0.0193000,XCM/EUR,EUR,-683.27,,,
EUR,2019-02-12 21:47:49.321 ,Order 93bcfaa96d41f4d8,-683.273,0.00,0.0193000,XCM/EUR,XCM,35402.7,,,
XCM,2019-02-12 21:28:48.037 ,Order 48b1f0d8442a3a83,3254.789,0.00,0.0190000,XCM/EUR,EUR,-61.84,,,
EUR,2019-02-12 21:28:48.021 ,Order 48b1f0d8442a3a83,-61.841,0.00,0.0190000,XCM/EUR,XCM,3254.8,,,
XCM,2019-02-12 21:26:02.562 ,Order 48b1f0d8442a3a83,37000,0.00,0.0190000,XCM/EUR,EUR,-703.00,,,
EUR,2019-02-12 21:26:02.548 ,Order 48b1f0d8442a3a83,-703,0.00,0.0190000,XCM/EUR,XCM,37000.0,,,
XCM,2019-02-12 21:25:41.641 ,Order 48b1f0d8442a3a83,37000,0.00,0.0190000,XCM/EUR,EUR,-703.00,,,
EUR,2019-02-12 21:25:41.625 ,Order 48b1f0d8442a3a83,-703,0.00,0.0190000,XCM/EUR,XCM,37000.0,,,
EUR,2019-02-11 12:16:42.100 ,Deposit 5c615996c18e6a7039427a68 - completed,2999,1.00,,,,,AE720260000211377054302,201902111148677269-123524931,
XCM,2019-02-01 16:17:29.104 ,TGE - 5c546e614dceb8c62af200c6 - completed,216172,,,,,,,,Available
